id,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,screen_name_binary,description_binary,id,bot
259570426,269128641.183568,0.748898678414097,0.06388617697613441,0.2696702947736327,0.4282115869017632,1.8494382022471907,0.6196840826245443,1.088699878493317,False,False,259570426,0
379554483,251246312.47339705,1.6574074074074074,7.052062904157473,54.54679698612933,0.6236933797909407,13.698630136986301,0.21,1.386,False,False,379554483,0
20681749,333719686.86648196,0.6007077558242406,36.695956762357774,79.22855330551246,0.3752763448784083,200.0,0.185,1.4169999999999998,False,False,20681749,0
970451120,214304207.00384808,0.6031746031746031,0.4144538329030804,4.695262001935092,0.3762376237623761,4.366812227074236,0.054000000000000006,1.179,False,False,970451120,0
2277635479,179240135.26853204,1.0796586059743956,9.005375930908377,28.36245125782668,0.5191518467852257,8.849557522123892,0.324,1.27,False,False,2277635479,0
296656431,263081500.54989696,1.624413145539906,0.024302735033196937,1.7563652291559084,0.6189624329159212,4.366812227074236,0.358,0.797,False,False,296656431,0
2166482420,184950467.14736104,1.148217636022514,15.34594664061381,29.938376936286673,0.5344978165938865,3.154574132492113,1.107,1.636,False,False,2166482420,0
33599092,327923332.4938121,0.4296875,0.8336387591607514,1.2235835643307615,0.3005464480874317,2.702702702702702,0.593,1.0070000000000001,False,False,33599092,0
3013427802,144766714.17910004,0.7859531772575251,0.08832969700604068,21.049324889905733,0.4400749063670412,47.61904761904761,0.769,1.661,False,False,3013427802,1
1909746842,187928269.96976304,0.8133718133718134,0.0,53.47764655959958,0.44854111405835545,17.24137931034483,0.266,0.068,False,False,1909746842,0
76694295,314448415.19444984,0.4163934426229508,0.21541720907740036,0.9067305994329351,0.29398148148148145,2.409638554216868,3.437,0.297,False,False,76694295,1
2369924384,174344393.50065088,2.507640067911715,5.401722310023604,20.607818398167108,0.7149080348499516,9.345794392523365,0.015,0.28800000000000003,False,False,2369924384,0
1075593628607832064,22893828.95528889,0.6311787072243346,6.6610089687409255,0.9548075178988412,0.3869463869463869,1.876923076923077,0.0942622950819672,0.9262295081967212,False,False,1075593628607832064,0
3326359645,127844813.69797206,0.1587861679604799,88.05115259969723,88.71683466796676,0.13702801461632155,333.3333333333333,1.483,1.3,False,False,3326359645,0
2786203847,156413298.63905406,0.8812949640287769,2.701703778878604,16.01412681526674,0.4684512428298279,20.0,0.48200000000000004,1.39,False,False,2786203847,0
609065499,228416840.03359893,2.1303418803418803,0.02383011690030969,0.559440363421556,0.6805460750853243,2.2573363431151243,0.15,0.79,False,False,609065499,0
132714768,296969322.99395984,6.008951406649617,32.2404210087206,22.702854059229303,0.8573253056011677,10.20408163265306,0.023,0.765,False,False,132714768,0
251750407,270544876.5855291,1.0659630606860158,1.897291149912892,11.592605410173032,0.5159642401021711,3.4129692832764507,0.047,0.888,False,False,251750407,0
253264822,270276959.13801605,1.0477453580901857,3.9533847184301414,1.0402129759660126,0.5116580310880829,1.7152658662092624,0.057,1.151,False,False,253264822,0
198075393,282080277.455544,0.8597110754414126,0.3179350247701529,8.230474037185722,0.4622820645606767,7.633587786259542,0.521,0.835,False,False,198075393,0
19185745,335793948.89799815,11.610221205186882,5.678882559552188,17.69353622808961,0.9206992499395112,6.849315068493151,0.81,1.121,False,False,19185745,0
290606170,263997325.96359897,1.023287671232877,3.1497046303970992,3.966258355754618,0.5057549085985105,3.115264797507788,0.016,0.772,False,False,290606170,0
3371446127,131519537.38849808,36.67625899280576,0.00788323940752146,111.29754476523985,0.9734580866908537,100.0,0.003,0.8109999999999999,False,False,3371446127,1
22502369,332159453.47672296,0.535175879396985,0.9538455000565044,0.9845391921772207,0.3486088379705401,4.545454545454546,0.5760000000000001,1.3530000000000002,False,False,22502369,0
176611682,286775892.30099016,91.42857142857143,3.653328010223343,5.397742423813411,0.9891808346213292,9.433962264150944,0.02,1.04,False,False,176611682,0
2575568852,165046333.83057904,2.6447876447876446,0.04606706385738157,4.217230300398476,0.7256355932203391,7.462686567164179,1.58,0.054000000000000006,False,False,2575568852,1
2682058062,161803165.60306,0.6333333333333333,0.005339821361218536,13.533777240008378,0.3877551020408163,83.33333333333333,0.8009999999999999,1.244,False,False,2682058062,1
3044724727,143186493.76522493,0.4355095541401274,0.9238189756702168,0.7452099509815271,0.3033832501386578,2.5510204081632653,0.466,1.052,False,False,3044724727,0
16552186,345271584.08847004,2.128776978417266,0.27225872134300305,84.62516739435243,0.680386295700161,58.82352941176471,0.04,0.605,False,False,16552186,0
13413,404094296.069325,2.1270783847981,6.636066942998758,22.359121838359123,0.6802126851500191,38.46153846153846,0.11800000000000001,1.213,False,False,13413,0
190719938,283690371.20350695,0.3970382229337602,4.209287734843072,13.771476216925983,0.2841999713508093,17.543859649122812,0.043,0.951,False,False,190719938,0
17867794,339773340.454957,1.80625,0.6059663177938309,57.96221673433732,0.643652561247216,47.61904761904761,0.131,0.7929999999999999,False,False,17867794,0
118926064,300670762.118979,0.3461538461538461,0.0278736779756577,11.13941367759145,0.2571428571428571,4.329004329004329,0.053,0.005,False,False,118926064,0
3306087551,134977721.34815907,1.0058823529411764,0.008321373251685278,2.9188816944372977,0.5014662756598239,4.291845493562231,0.057,0.096,False,False,3306087551,1
499066360,238322488.638216,0.22764227642276424,0.05873050453601026,0.09824670820530113,0.18543046357615892,2.3076923076923075,0.3703703703703704,0.9407407407407408,False,False,499066360,0
440775877,243876795.5624001,1.0,1.7189532076360956,10.457555808533034,1.0,4.0,0.287,0.662,False,False,440775877,0
